Character,Frequency,Radical_position,Radical,Strokes
帘,2458,巾 50.5,巾,8
帆,2459,巾 50.3,巾,6
栖,2460,木 75.6,木,10
窜,2461,穴 116.7,穴,12
丸,2462,丶 3.2,丶,3
斩,2463,車 159.4,車,8
堤,2464,土 32.9,土,12
塌,2465,土 32.10,土,13
贩,2466,貝 154.4,貝,8
厢,2467,厂 27.9,厂,11
掀,2468,手 64.8,手,11
喀,2469,口 30.9,口,12
乖,2470,丿 4.7,丿,8
谜,2471,言 149.9,言,11
捏,2472,手 64.7,手,10
阎,2473,門 169.8,門,11
滨,2474,水 85.10,水,13
虏,2475,虍 141.2,虍,8
匙,2476,匕 21.9,匕,11
芦,2477,艸 140.4,艸,7
苹,2478,艸 140.5,艸,8
卸,2479,卩 26.6,卩,9
沼,2480,水 85.5,水,8
钥,2481,金 167.4,金,9
株,2482,木 75.6,木,10
祷,2483,示 113.7,示,11
剖,2484,刀 18.8,刀,10
熙,2485,火 86.10,火,14
哗,2486,口 30.6,口,9
劈,2487,刀 18.13,刀,15
怯,2488,心 61.5,心,8
棠,2489,木 75.8,木,12
胳,2490,肉 130.6,肉,10
桩,2491,木 75.6,木,10
瑰,2492,玉 96.10,玉,13
娱,2493,女 38.7,女,10
娶,2494,女 38.8,女,11
沫,2495,水 85.5,水,8
嗓,2496,口 30.10,口,13
蹲,2497,足 157.12,足,19
焚,2498,火 86.8,火,12
淘,2499,水 85.8,水,11
嫩,2500,女 38.11,女,14
韵,2501,音 180.4,音,13
衬,2502,衣 145.3,衣,8
匈,2503,勹 20.4,勹,6
钧,2504,金 167.4,金,9
竖,2505,立 117.4,立,9
峻,2506,山 46.7,山,10
豹,2507,豸 153.3,豸,10
捞,2508,手 64.7,手,10
菊,2509,艸 140.8,艸,11
鄙,2510,邑 163.11,邑,13
魄,2511,鬼 194.5,鬼,14
兜,2512,儿 10.9,儿,11
哄,2513,口 30.6,口,9
颖,2514,頁 181.7,頁,13
镑,2515,金 167.10,金,15
屑,2516,尸 44.7,尸,10
蚁,2517,虫 142.3,虫,9
壶,2518,士 33.7,士,10
怡,2519,心 61.5,心,8
渗,2520,水 85.8,水,11
秃,2521,禾 115.2,禾,7
迦,2522,辵 162.5,辵,8
旱,2523,日 72.3,日,7
哟,2524,口 30.6,口,9
咸,2525,口 30.6,口,9
焉,2526,火 86.7,火,11
谴,2527,言 149.13,言,15
宛,2528,宀 40.5,宀,8
稻,2529,禾 115.10,禾,15
铸,2530,金 167.7,金,12
锻,2531,金 167.9,金,14
伽,2532,人 9.5,人,7
詹,2533,言 149.6,言,13
毙,2534,比 81.6,比,10
恍,2535,心 61.6,心,9
贬,2536,貝 154.5,貝,8
烛,2537,火 86.6,火,10
骇,2538,馬 187.6,馬,9
芯,2539,艸 140.4,艸,7
汁,2540,水 85.2,水,5
桓,2541,木 75.6,木,10
坊,2542,土 32.4,土,7
